democratic_house_seats,democratic_aligned_senate_seats,open_simulation_count,calibrated_probability,overall_dem_to_gop_percentile,house_vs_senate_tilt_percentile
225,46,11,0.00047881,89.07,94.347
226,46,17,0.00075183,88.308,95.107
227,46,9,0.00043752,87.644,95.694
228,46,10,0.00040711,86.828,96.246
229,46,6,0.0002168,86.134,96.673
230,46,6,0.00027328,85.206,97.125
231,46,5,0.00011824,84.452,97.444
232,46,4,0.00007605,83.518,97.731
233,46,2,0.00008239,82.646,97.992
234,46,5,0.00024867,81.735,98.259
235,46,2,0.00010279,80.544,98.449
237,46,1,0.00001114,78.504,98.797
238,46,1,0.00005248,77.582,98.921
239,46,1,0.00001114,76.636,99.186
240,46,1,0.00000716,75.891,99.271
243,46,1,0.00002197,72.722,99.528
246,46,2,0.00008973,69.83,99.716
250,46,1,0.00001156,64.848,99.818
252,46,1,0.00000555,62.105,99.871
258,46,1,0.00000744,53.726,99.912
186,47,2,0.00006645,99.064,3.116
188,47,1,0.00003323,98.896,4.689
190,47,1,0.00001471,98.644,6.908
192,47,3,0.00003164,98.461,8.728
193,47,2,0.00002646,98.337,9.961
194,47,5,0.00010166,98.214,11.018
195,47,8,0.00017513,98.068,13.084
196,47,8,0.00026439,97.914,14.731
197,47,14,0.00035983,97.78,16.634
198,47,9,0.00025862,97.646,18.938
199,47,16,0.00036915,97.464,21.623
200,47,20,0.0004807,97.251,23.696
201,47,18,0.00056673,97.011,26.793
202,47,22,0.00056185,96.802,29.624
203,47,44,0.00103924,96.527,32.986
204,47,39,0.00099248,96.287,35.467
205,47,45,0.00118059,95.995,37.855
206,47,42,0.00083634,95.675,41.525
207,47,32,0.00085047,95.351,44.921
208,47,55,0.00122287,94.953,48.099
209,47,44,0.00119125,94.663,51.497
210,47,46,0.00290328,94.226,54.814
211,47,39,0.00205774,93.704,57.922
212,47,41,0.00248605,93.279,60.873
213,47,32,0.00202452,92.827,63.615
214,47,50,0.00287538,92.326,66.224
215,47,31,0.00193674,91.817,68.909
216,47,40,0.00257412,91.116,71.537
217,47,46,0.00220206,90.415,74.068
218,47,31,0.00205385,89.775,76.28
219,47,27,0.00163863,89.176,78.427
220,47,27,0.00231557,88.462,80.147
221,47,24,0.00178839,87.755,81.864
222,47,23,0.00163048,86.93,83.772
223,47,26,0.00172563,86.231,85.245
224,47,20,0.00120208,85.279,86.83
225,47,19,0.00119742,84.518,88.317
226,47,18,0.00117538,83.58,89.628
227,47,19,0.00148972,82.724,90.984
228,47,19,0.00113175,81.804,92.13
229,47,8,0.00059777,80.579,92.98
230,47,10,0.00074539,79.555,93.806
231,47,8,0.00057828,78.533,94.418
232,47,6,0.00031997,77.601,95.182
233,47,6,0.00022831,76.648,95.839
234,47,6,0.00032604,75.907,96.316
235,47,6,0.00051123,75.063,96.769
236,47,4,0.00015764,73.783,97.179
237,47,7,0.00032673,72.739,97.473
238,47,2,0.00010322,71.651,97.747
239,47,4,0.00017952,70.697,98.021
