sim_id,weight,democratic_house_seats,democratic_aligned_senate_seats,six_state_combo,overall_dem_to_gop_percentile,house_vs_senate_tilt_percentile,conventionality_score
7896,0.000040906373,235,49,IA-R_TX-R_OH-D_AK-R_ME-D_MI-D,61.002,85.745,1.425133
7897,0.000642035809,224,52,IA-R_TX-D_OH-R_AK-D_ME-D_MI-D,52.218,12.579,0.950269
7898,0.000121947703,211,48,IA-R_TX-R_OH-R_AK-R_ME-R_MI-D,90.709,38.191,0.815535
7899,0.000054392912,224,48,IA-R_TX-R_OH-R_AK-R_ME-D_MI-R,79.743,76.715,0.559868
7900,0.000263541532,229,53,IA-D_TX-D_OH-D_AK-D_ME-D_MI-D,35.6,10.928,0
7901,0.000078997251,224,49,IA-R_TX-R_OH-R_AK-R_ME-D_MI-R,74.305,61.807,0.559868
7902,0.00007553801,213,50,IA-D_TX-R_OH-D_AK-R_ME-R_MI-D,79.383,13.459,-0.134735
7903,0.000007715674,202,49,IA-D_TX-R_OH-D_AK-R_ME-D_MI-R,92.602,7.191,-0.390402
7904,0.000043072615,212,48,IA-R_TX-R_OH-R_AK-R_ME-D_MI-D,90.03,42.043,1.375402
7905,0.000220755956,223,49,IA-D_TX-D_OH-R_AK-R_ME-R_MI-R,75.39,58.629,-0.958918
7906,0.000025757625,225,49,IA-D_TX-R_OH-D_AK-R_ME-D_MI-D,73.138,64.227,0.425133
7907,0.000060942045,219,46,IA-R_TX-R_OH-R_AK-R_ME-R_MI-R,92.688,88.133,0
7908,0.000078656321,222,49,IA-R_TX-R_OH-D_AK-D_ME-D_MI-R,76.234,55.683,0.143383
7909,0.000013718702,217,47,IA-R_TX-R_OH-D_AK-R_ME-D_MI-R,90.415,74.068,0.609598
7910,0.000603673114,238,56,IA-D_TX-D_OH-D_AK-D_ME-D_MI-D,9.432,2.797,0
7911,0.00002135053,216,45,IA-R_TX-R_OH-D_AK-R_ME-R_MI-R,96.116,91.876,0.049731
7912,0.000019056097,211,48,IA-R_TX-R_OH-D_AK-R_ME-D_MI-R,90.709,38.191,0.609598
7913,0.000137492393,212,50,IA-R_TX-D_OH-D_AK-R_ME-R_MI-R,80.435,11.74,0.090813
7914,0.000046908843,224,49,IA-R_TX-D_OH-D_AK-R_ME-D_MI-D,74.305,61.807,1.466215
7915,0.000091593015,235,51,IA-R_TX-R_OH-D_AK-R_ME-D_MI-D,44.182,59.819,1.425133
7916,0.00001826505,203,44,IA-R_TX-R_OH-R_AK-R_ME-R_MI-R,99.097,81.203,0
7917,0.000025743645,220,49,IA-D_TX-R_OH-D_AK-R_ME-D_MI-R,78.061,49.033,-0.390402
7918,0.000122734051,238,51,IA-R_TX-D_OH-D_AK-R_ME-D_MI-R,39.037,67.945,0.65068
7919,0.000031317441,210,51,IA-R_TX-D_OH-D_AK-R_ME-R_MI-D,76.625,3.58,0.906347
7920,0.000046734858,244,50,IA-R_TX-R_OH-D_AK-R_ME-D_MI-D,38.749,90.311,1.425133
7921,0.000270139394,241,53,IA-D_TX-D_OH-R_AK-R_ME-D_MI-D,21.508,41.208,0.416484
7922,0.00001826505,203,46,IA-R_TX-R_OH-R_AK-R_ME-R_MI-R,97.743,50.948,0
7923,0.000067994894,235,49,IA-D_TX-R_OH-R_AK-R_ME-D_MI-R,61.002,85.745,-0.440132
7924,0.000061393006,227,50,IA-R_TX-D_OH-D_AK-R_ME-D_MI-D,63.953,52.895,1.466215
7925,0.000049075221,219,47,IA-R_TX-R_OH-D_AK-R_ME-R_MI-R,89.176,78.427,0.049731
7926,0.000398081779,219,51,IA-R_TX-R_OH-R_AK-D_ME-D_MI-D,67.277,13.853,0.909187
7927,0.00016447541,220,54,IA-D_TX-D_OH-D_AK-R_ME-D_MI-D,40.276,0.748,0.466215
7928,0.000048563087,214,50,IA-R_TX-D_OH-D_AK-R_ME-D_MI-R,78.405,15.568,0.65068
7929,0.000029044752,213,54,IA-D_TX-R_OH-D_AK-D_ME-D_MI-R,51.018,0.283,-0.856617
7930,0.000030991639,217,47,IA-R_TX-R_OH-R_AK-R_ME-D_MI-R,90.415,74.068,0.559868
7931,0.00001826505,208,45,IA-R_TX-R_OH-R_AK-R_ME-R_MI-R,97.847,79.501,0
7932,0.000022815717,217,47,IA-D_TX-R_OH-R_AK-R_ME-D_MI-R,90.415,74.068,-0.440132
7933,0.00000722022,207,48,IA-R_TX-R_OH-D_AK-R_ME-D_MI-D,92.98,26.979,1.425133
7934,0.000229548218,225,55,IA-D_TX-D_OH-D_AK-R_ME-D_MI-D,26.467,0.652,0.466215
7935,0.000197364984,212,47,IA-R_TX-R_OH-R_AK-D_ME-R_MI-R,93.279,60.873,-0.466215
7936,0.000027676019,211,49,IA-R_TX-R_OH-D_AK-R_ME-D_MI-R,86.656,22.218,0.609598
7937,0.000110864826,220,47,IA-R_TX-R_OH-R_AK-R_ME-R_MI-R,88.462,80.147,0
7938,0.00008521522,231,49,IA-D_TX-R_OH-D_AK-R_ME-R_MI-R,66.449,78.879,-0.950269
7939,0.00003011484,231,49,IA-D_TX-R_OH-D_AK-R_ME-D_MI-D,66.449,78.879,0.425133
7940,0.000138691683,227,50,IA-R_TX-D_OH-R_AK-R_ME-D_MI-D,63.953,52.895,1.416484
