democratic_house_seats,democratic_aligned_senate_seats,simulation_count,probability,overall_dem_to_gop_percentile,house_vs_senate_tilt_percentile
217,53,1,0.0001,26.135,1.185
218,53,4,0.0004,25.33,1.37
219,53,5,0.0005,24.485,1.635
220,53,8,0.0008,23.58,1.95
221,53,8,0.0008,22.69,2.4
222,53,11,0.0011,21.745,2.835
223,53,6,0.0006,20.86,3.36
224,53,3,0.0003,20.095,3.815
225,53,13,0.0013,19.345,4.555
226,53,8,0.0008,18.42,5.23
227,53,11,0.0011,17.715,5.895
228,53,11,0.0011,17.045,6.785
229,53,7,0.0007,16.365,7.825
230,53,13,0.0013,15.685,8.745
231,53,14,0.0014,15.02,10
232,53,9,0.0009,14.455,11.275
233,53,10,0.001,13.84,12.65
234,53,10,0.001,13.33,14.39
235,53,15,0.0015,12.795,16.035
236,53,14,0.0014,12.29,17.96
237,53,16,0.0016,11.7,20.14
238,53,9,0.0009,11.165,22.365
239,53,14,0.0014,10.61,25.18
240,53,11,0.0011,10.085,27.955
241,53,18,0.0018,9.62,30.34
242,53,16,0.0016,9.15,33.36
243,53,16,0.0016,8.62,36.47
244,53,21,0.0021,8.085,39.615
245,53,14,0.0014,7.59,42.91
246,53,16,0.0016,7.15,46.01
247,53,11,0.0011,6.785,48.905
248,53,7,0.0007,6.385,51.845
249,53,17,0.0017,6.075,54.785
250,53,12,0.0012,5.65,57.45
251,53,11,0.0011,5.365,60.435
252,53,9,0.0009,4.995,63.315
253,53,6,0.0006,4.76,66
254,53,7,0.0007,4.495,68.595
255,53,11,0.0011,4.305,71.015
256,53,4,0.0004,4.1,73.26
257,53,14,0.0014,3.8,75.51
258,53,8,0.0008,3.55,77.84
259,53,10,0.001,3.32,79.71
260,53,7,0.0007,3.145,81.605
261,53,9,0.0009,3.005,83.375
262,53,6,0.0006,2.77,85.24
263,53,6,0.0006,2.64,86.84
264,53,3,0.0003,2.505,88.445
265,53,2,0.0002,2.29,89.69
266,53,2,0.0002,2.13,90.89
267,53,2,0.0002,2.02,91.76
268,53,6,0.0006,1.85,92.71
269,53,3,0.0003,1.675,93.535
270,53,4,0.0004,1.5,94.28
271,53,2,0.0002,1.37,94.93
272,53,1,0.0001,1.285,95.395
273,53,1,0.0001,1.205,95.955
274,53,1,0.0001,1.115,96.415
277,53,1,0.0001,0.985,97.525
278,53,2,0.0002,0.94,97.81
279,53,1,0.0001,0.865,98.095
282,53,1,0.0001,0.745,98.745
283,53,3,0.0003,0.655,98.875
284,53,1,0.0001,0.585,99.035
287,53,1,0.0001,0.445,99.275
316,53,1,0.0001,0.045,99.965
202,54,1,0.0001,35.385,0.055
205,54,1,0.0001,31.905,0.095
208,54,1,0.0001,28.825,0.165
209,54,1,0.0001,27.935,0.185
210,54,1,0.0001,27.045,0.215
212,54,2,0.0002,25.3,0.25
213,54,2,0.0002,24.45,0.3
215,54,3,0.0003,22.635,0.425
216,54,1,0.0001,21.685,0.485
217,54,3,0.0003,20.815,0.545
218,54,1,0.0001,20.075,0.635
219,54,1,0.0001,19.275,0.705
220,54,2,0.0002,18.37,0.78
221,54,1,0.0001,17.655,0.895
222,54,2,0.0002,16.98,1
223,54,1,0.0001,16.325,1.175
224,54,2,0.0002,15.61,1.34
225,54,3,0.0003,14.935,1.595
226,54,2,0.0002,14.4,1.9
227,54,2,0.0002,13.78,2.35
228,54,5,0.0005,13.255,2.755
229,54,4,0.0004,12.7,3.31
230,54,4,0.0004,12.2,3.78
231,54,4,0.0004,11.6,4.47
232,54,4,0.0004,11.1,5.17
233,54,6,0.0006,10.51,5.81
234,54,3,0.0003,10.015,6.715
235,54,11,0.0011,9.475,7.735
236,54,4,0.0004,9.05,8.66
237,54,9,0.0009,8.495,9.885
238,54,9,0.0009,7.935,11.185
239,54,7,0.0007,7.485,12.565
240,54,8,0.0008,7.03,14.3
241,54,12,0.0012,6.67,15.9
242,54,3,0.0003,6.335,17.875
243,54,4,0.0004,5.97,20.04
244,54,5,0.0005,5.565,22.295
245,54,9,0.0009,5.265,25.065
246,54,3,0.0003,4.935,27.885
247,54,10,0.001,4.68,30.2
248,54,3,0.0003,4.445,33.265
249,54,4,0.0004,4.23,36.37
250,54,9,0.0009,4.035,39.465
251,54,6,0.0006,3.7,42.81
252,54,8,0.0008,3.47,45.89
253,54,3,0.0003,3.255,48.835
254,54,1,0.0001,3.105,51.805
255,54,8,0.0008,2.92,54.66
256,54,3,0.0003,2.725,57.375
257,54,4,0.0004,2.59,60.36
258,54,8,0.0008,2.45,63.23
259,54,9,0.0009,2.235,65.925
260,54,3,0.0003,2.105,68.545
261,54,3,0.0003,1.995,70.945
262,54,7,0.0007,1.785,73.205
263,54,6,0.0006,1.63,75.41
264,54,6,0.0006,1.45,77.77
265,54,1,0.0001,1.355,79.655
266,54,3,0.0003,1.265,81.555
267,54,3,0.0003,1.185,83.315
269,54,2,0.0002,1.07,86.8
270,54,3,0.0003,1.035,88.415
271,54,1,0.0001,0.975,89.675
272,54,4,0.0004,0.91,90.86
273,54,2,0.0002,0.85,91.74
275,54,1,0.0001,0.785,93.515
276,54,2,0.0002,0.73,94.25
277,54,1,0.0001,0.635,94.915
278,54,2,0.0002,0.57,95.38
280,54,3,0.0003,0.485,96.395
282,54,1,0.0001,0.425,97.155
283,54,1,0.0001,0.395,97.515
285,54,2,0.0002,0.36,98.08
288,54,1,0.0001,0.265,98.735
294,54,1,0.0001,0.145,99.395
296,54,1,0.0001,0.105,99.555
298,54,1,0.0001,0.075,99.615
210,55,1,0.0001,21.675,0.085
212,55,1,0.0001,20.065,0.115
213,55,1,0.0001,19.265,0.135
216,55,2,0.0002,16.96,0.2
219,55,1,0.0001,14.915,0.285
221,55,2,0.0002,13.76,0.4
224,55,1,0.0001,12.175,0.625
225,55,1,0.0001,11.575,0.695
227,55,2,0.0002,10.47,0.88
228,55,2,0.0002,9.99,0.98
229,55,1,0.0001,9.415,1.165
230,55,3,0.0003,9.015,1.315
231,55,2,0.0002,8.44,1.57
232,55,5,0.0005,7.865,1.865
233,55,4,0.0004,7.43,2.32
234,55,4,0.0004,6.97,2.71
235,55,1,0.0001,6.605,3.285
236,55,4,0.0004,6.3,3.74
237,55,3,0.0003,5.935,4.435
238,55,3,0.0003,5.525,5.135
239,55,4,0.0004,5.2,5.76
240,55,3,0.0003,4.905,6.685
241,55,1,0.0001,4.625,7.675
243,55,3,0.0003,4.195,9.825
244,55,1,0.0001,3.985,11.135
245,55,5,0.0005,3.645,12.505
246,55,2,0.0002,3.42,14.25
247,55,2,0.0002,3.23,15.83
248,55,2,0.0002,3.09,17.85
249,55,4,0.0004,2.86,20
250,55,2,0.0002,2.7,22.26
251,55,2,0.0002,2.56,25.01
252,55,6,0.0006,2.38,27.84
254,55,4,0.0004,2.07,33.23
255,55,4,0.0004,1.96,36.33
256,55,3,0.0003,1.735,39.405
257,55,3,0.0003,1.585,42.765
258,55,3,0.0003,1.405,45.835
259,55,1,0.0001,1.345,48.815
260,55,2,0.0002,1.24,51.79
261,55,1,0.0001,1.165,54.615
262,55,1,0.0001,1.105,57.355
264,55,1,0.0001,1.015,63.185
266,55,1,0.0001,0.885,68.525
267,55,1,0.0001,0.835,70.925
268,55,2,0.0002,0.82,73.16
269,55,1,0.0001,0.775,75.375
270,55,4,0.0004,0.7,77.72
271,55,3,0.0003,0.615,79.635
272,55,1,0.0001,0.555,81.535
273,55,3,0.0003,0.535,83.285
274,55,2,0.0002,0.46,85.2
278,55,1,0.0001,0.385,90.835
279,55,1,0.0001,0.345,91.725
281,55,3,0.0003,0.315,93.495
282,55,1,0.0001,0.255,94.235
283,55,1,0.0001,0.215,94.905
286,55,1,0.0001,0.165,96.375
287,55,1,0.0001,0.155,96.815
289,55,1,0.0001,0.125,97.505
291,55,2,0.0002,0.09,98.06
213,56,1,0.0001,14.905,0.045
215,56,1,0.0001,13.745,0.065
216,56,1,0.0001,13.225,0.075
218,56,1,0.0001,12.165,0.105
221,56,1,0.0001,10.455,0.175
227,56,1,0.0001,7.405,0.385
233,56,1,0.0001,5.175,0.865
236,56,1,0.0001,4.425,1.295
238,56,2,0.0002,3.97,1.83
241,56,2,0.0002,3.21,3.27
243,56,1,0.0001,2.835,4.415
245,56,1,0.0001,2.545,5.735
246,56,1,0.0001,2.345,6.665
247,56,1,0.0001,2.185,7.665
249,56,2,0.0002,1.93,9.8
251,56,2,0.0002,1.56,12.47
253,56,3,0.0003,1.325,15.805
254,56,2,0.0002,1.22,17.83
255,56,3,0.0003,1.145,19.965
256,56,2,0.0002,1.09,22.24
259,56,1,0.0001,0.965,30.145
260,56,1,0.0001,0.875,33.205
263,56,2,0.0002,0.76,42.74
264,56,1,0.0001,0.675,45.815
265,56,1,0.0001,0.595,48.805
267,56,2,0.0002,0.51,54.6
269,56,1,0.0001,0.435,60.335
270,56,1,0.0001,0.415,63.175
274,56,1,0.0001,0.335,73.145
275,56,2,0.0002,0.29,75.36
276,56,2,0.0002,0.24,77.69
277,56,1,0.0001,0.205,79.615
279,56,1,0.0001,0.175,83.265
282,56,1,0.0001,0.135,88.395
283,56,1,0.0001,0.115,89.665
294,56,1,0.0001,0.065,97.145
206,57,1,0.0001,15.595,0.025
234,57,1,0.0001,3.405,0.475
239,57,1,0.0001,2.535,0.855
240,57,1,0.0001,2.335,0.965
242,57,1,0.0001,2.045,1.285
245,57,1,0.0001,1.545,2.295
247,57,1,0.0001,1.305,3.255
251,57,1,0.0001,1.055,5.725
252,57,1,0.0001,1.005,6.655
253,57,1,0.0001,0.955,7.655
256,57,1,0.0001,0.805,11.125
264,57,1,0.0001,0.405,27.805
266,57,1,0.0001,0.375,33.195
269,57,1,0.0001,0.275,42.725
270,57,1,0.0001,0.225,45.805
271,57,1,0.0001,0.195,48.795
292,57,1,0.0001,0.035,92.675
309,57,1,0.0001,0.015,99.105
331,57,1,0.0001,0.005,99.925
236,58,1,0.0001,2.035,0.235
243,58,1,0.0001,1.125,0.685
215,59,1,0.0001,5.165,0.005
217,59,1,0.0001,4.615,0.015
259,59,1,0.0001,0.185,3.245
279,59,1,0.0001,0.055,36.305
284,59,1,0.0001,0.025,51.775
234,60,1,0.0001,0.995,0.035
